question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
- (Exam Topic 2) A developer is creating as AWS lambda function that generates a new file each time it runs. Each new file must be checked into an AWS CodeCommit repository hosted in the same AWS account. How should the developer accomplish this?,A. When the Lambda function starts  use the Git CLI to Clone the repositor,B. Check the new file into the cloned repository and push the change.,C. After the new file is created in Lambda  use cURL to invoke the CodeCommit AP,D. Send the file to the repository.,E. Use an AWS SDK to instantiate a CodeCommit Clien,F. Invoke the put _ file method to add the file to the repository. G. Upload the new file to an Amazon S3 bucke H. Create an AWS step Function to accept S3 event I. In the step Function  add the new file to the repository.,4,radio,,,
- (Exam Topic 2) A developer has built an application running on AWS Lambda using AWS Serverless Application Model (AWS SAM). What is the correct order of execution to successfully deploy the application?,A. * 1 Build the SAM template in Amazon EC2* 2 Package the SAM template to Amazon EBS storage* 3. Deploy the SAM template from Amazon EBS.,B. * 1 Build the SAM template locally* 2 Package the SAM template onto Amazon S3* 3. Deploy the SAM template from Amazon S3.,C. * 1 Build the SAM template locally* 2. Deploy the SAM template from Amazon S3. * 3 Package the SAM template for use,D. * 1 Build the SAM template locally* 2 Package the SAM template from AWS CodeCommi,E. * 3 Deploy the SAM template to CodeCommit,,2,radio,,,Reference: https://docs.aws.amazon.com/serverless-application-model/latest/developerguide/serverlessdeploying.html
- (Exam Topic 2) A company wants to migrate an imaging service to Amazon EC2 while following security best practices. The images are sourced and read from a non-public Amazon S3 bucket. What should a developer do to meet these requirements?,A. Create an IAM user with read-only permissions for the S3 bucket Temporarily store the user credentials in the Amazon EBS volume of the EC2 instance,B. Create an IAM user with read-only permissions for the S3 bucke,C. Temporarily store the user credentials in the user data of the EC2 instance.,D. Create an EC2 service role with read-only permissions for the S3 bucket Attach the role to the EC2 instance,E. Create an S3 service role with read-only permissions for the S3 bucket Attach the role to the EC2 instance,,1,radio,,,
- (Exam Topic 2) A developer is storing sensitive data generated by an application in Amazon S3. The developer wants to encrypt the data at rest. A company policy requires an audit trail of when the master key was used and by whom. Which encryption option will meet these requirements?,A. Server-side encryption with Amazon S3 managed keys (SSE-S3),B. Server-side encryption with AWS KMS managed keys (SSE-KMS),C. Server-side encryption with customer-provided keys (SSE-C),D. Server-side encryption with self-managed keys,,,2,radio,,,
- (Exam Topic 2) A company experienced partial downtime during the last deployment of a new application AWS Elastic Beanstalk split the environment's Amazon EC2 instances into batches and deployed a new version one batch at a time after taking them out of service. Therefore  full capacity was not maintained during deployment. The developer plans to release a new version of the application  and is looking for a policy that will maintain full capacity and minimize the impact of the failed deployment Which deployment policy should the developer use?,A. Immutable,B. All at Once,C. Rolling,D. Rolling with an Additional Batch,,,1,radio,,,Immutable infrastructure has become a new norm in IT operations. Immutable Deployment is one of those approaches  and it simply means: Immutable: the “staging” environment  once ready to become production  doesn't change. If we need to change something  we then deploy new code on completely new infrastructure. The benefits of an immutable infrastructure include more consistency and reliability in your infrastructure and a simpler  more predictable deployment process
- (Exam Topic 2) A Developer is publishing critical log data to a log group in Amazon CloudWatch Lops  which was created 2 months ago. The Developer must encrypt the log data using an AWS KMS customer master key (CMK) so future data can be encrypted to comply with me company's security policy How can the Developer meet this requirement?,A. Use the Cloud Watch Logs console and enable the encrypt feature on the log group.,B. Use the AWS CLI create-log-group command and specify the key Amazon Resource Name (ARN),C. Use the KMs console and associate the CMK with the log group,D. Use the AWS CLI associate-Kms-key command and specify the key Amazon Resource Name (ARN),,,3,radio,,,
- (Exam Topic 2) A Developer is storing sensitive documents in Amazon S3 that will require encryption at rest. The encryption keys must be rotated annually  at least. What is the easiest way to achieve this?,A. Encrypt the data before sending it to Amazon S3,B. Import a custom key into AWS KMS with annual rotation enabled,C. Use AWS KMS with automatic key rotation,D. Export a key from AWS KMS to encrypt the data,,,3,radio,,,https://docs.aws.amazon.com/kms/latest/developerguide/rotate-keys.html https://docs.aws.amazon.com/kms/latest/developerguide/custom-key-storeoverview.html You can use the same techniques to view and manage the CMKs in your custom key store that you use for CMKs in the AWS KMS key store. You can control access with IAM and key policies  create tags and aliases  enable and disable the CMKs  and schedule key deletion. You can use the CMKs for cryptographic operations and use them with AWS services that integrate with AWS KMS. However  you cannot enable automatic key rotation and you cannot import key material into a CMK in a custom key store. Q: Can I rotate my keys? Yes. You can choose to have AWS KMS automatically rotate CMKs every year  provided that those keys were generated within AWS KMS HSMs. Automatic key rotation is not supported for imported keys  asymmetric keys  or keys generated in an AWS CloudHSM cluster using the AWS KMS custom key store feature. If you choose to import keys to AWS KMS or asymmetric keys or use a custom key store  you can manually rotate them by creating a new CMK and mapping an existing key alias from the old CMK to the new CMK. https://aws.amazon.com/kms/faqs/
- (Exam Topic 2) A developer has written an application that runs on Amazon EC2 instances and generates a value every minute. The Developer wants to monitor and graph the values generated over time without logging in to the instance each time. Which approach should the Developer use to achieve this goal?,A. Use the Amazon CloudWatch metrics reported by default for all EC2 instances View each value from the CloudWatch console. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),B. Develop the application to store each value in a file on Amazon S3 every minute with the Umestamp as the name,C. Publish each generated value as a custom metric to Amazon CloudWatch using available AWS SDKs,D. Store each value as a variable and add the variable to the list of EC2 metrics that should be reported to the Amazon CloudWatch console,,,3,radio,,,
- (Exam Topic 2) AWS CodeBuild builds code for an application  creates the Docker image  pushes the image to Amazon Elastic Container Registry (Amazon ECR)  and tags the image with a unique identifier. If the Developers already have AWS CLI configured on their workstations  how can the Docker images be pulled to the workstations?,A. Run the following:docker pull REPOSITORY URI : TAG,B. Run the output of the following:aws ecr get-loginand then run:docker pull REPOSITORY URI : TAG,C. Run the following:aws ecr get-loginand then run:docker pull REPOSITORY URI : TAG,D. Run the output of the following:aws ecr get-download-url-for-layerand then run:docker pull REPOSITORY URI : TAG,,,2,radio,,,https://docs.aws.amazon.com/cli/latest/reference/ecr/get-login.html
- (Exam Topic 3) A developer wants to use React to build a web and mobile application. The application will be hosted on AWS The application must authenticate users and then allow users to store and retrieve files that they own The developer wants to use Facebook for authentication Which CLI will MOST accelerate the development and deployment of this application on AWS?,A. AWS CLI,B. AWS Amplify CLI,C. AWS Serverless Application Model (AWS SAM) CLI,D. Amazon Elastic Container Service (Amazon ECS) CLI,,,2,radio,,,
